feature_names,PC1,PC2,PC3,PC4,PC5,PC6,cluster
classic country pop,0.0019454948432230104,-0.01775794680990161,-0.011874608886647467,0.005074850903427008,0.008880626005951514,0.0033225205984534086,0
alternative americana,0.010044012558207154,-0.003317036150509025,-0.012945763970335334,-0.007222925715645451,0.0047779785940664865,0.0024214974439877857,0
country road,-0.0008084069211184353,-0.0014652231089264656,-0.0007708829813394692,0.0004896322925995212,-0.0006026988783936828,-0.00029734007539476367,0
neo mellow,0.0005599802729742467,-0.03415435840829486,-0.013582016925288617,0.009848878290591818,0.001514396575942771,-0.03623957621672768,0
indie punk,0.010954034982305521,0.03234375792364991,-0.01765261221101987,-0.0218632452329138,-0.09680509147240814,0.053853624252809346,0
5th wave emo,-0.0002918529072527955,0.003107500976212592,-0.004489358259882272,-0.003149624171607511,-0.012698048984447064,0.004323990884724552,0
idaho indie,0.0012459982952833534,0.0031103971237738445,0.0022884552759974597,-0.0010850318942390092,-0.004245569820475403,0.00011585733654084554,0
philly indie,0.01565544770509572,0.0498796090290222,-0.030125995003472024,0.0014981517459619845,-0.052817081084471806,0.05765427662325779,0
alternative pop rock,-0.0011923169339860449,0.0012644566621600574,-0.002206707481396919,0.0011131337504666865,-0.0028953882245847965,-0.00030189539065194606,0
slacker rock,0.05008066901594552,0.01655404328635705,-0.02061102090397917,-0.037968314551204294,-0.12454181170130808,0.07301677844382647,0
asheville indie,-0.004767593442545498,0.01798047370651779,-0.027365031860693254,0.002356960714545017,-0.04240532630228474,0.018488413597447094,0
portuguese rock,-7.323288139705322e-05,0.0002362991165512224,-0.00024777668602384646,-0.0005531572045959112,-0.0009082000070034406,5.701352574197638e-05,0
portuguese indie,-7.323288139705322e-05,0.0002362991165512224,-0.00024777668602384646,-0.0005531572045959112,-0.0009082000070034406,5.701352574197638e-05,0
seattle indie,0.050463600195560926,0.011582272879785756,0.019376115976532854,-0.020605676890355248,0.01180503543173952,-0.046797897718671815,0
diy emo,-0.00012364440929984538,0.004834813659617763,-0.0054700689345715675,-0.0014332897592264535,-0.013429713106308255,0.00917317446882744,0
